"CustomerKey","IncomeGroup","BikeBuyer","GeographyKey","FullName","Age","Gender","YearlyIncome","TotalChildren","NumberChildrenAtHome","EnglishEducation","EnglishOccupation","HouseOwnerFlag","MaritalStatus","NumberCarsOwned","MonthsSinceLastPurchase","CommuteDistance"
11000,High,1,26,Jon Yang,49,M,"90000.0000",2,0,Bachelors,Professional,"1",M,0,27,"1-2 Miles"
11001,Moderate,1,37,Eugene Huang,45,M,"60000.0000",3,3,Bachelors,Professional,"0",S,1,20,"0-1 Miles"
11002,Moderate,1,31,Ruben Torres,50,M,"60000.0000",3,3,Bachelors,Professional,"1",M,1,30,"2-5 Miles"
11003,High,1,11,Christy Zhu,48,F,"70000.0000",0,0,Bachelors,Professional,"0",S,1,27,"5-10 Miles"
11004,High,1,19,Elizabeth Johnson,42,F,"80000.0000",5,5,Bachelors,Professional,"1",S,4,27,"1-2 Miles"
11005,High,1,22,Julio Ruiz,45,M,"70000.0000",0,0,Bachelors,Professional,"1",S,1,27,"5-10 Miles"
11006,High,1,8,Janet Alvarez,44,F,"70000.0000",0,0,Bachelors,Professional,"1",S,1,27,"5-10 Miles"
11007,Moderate,1,40,Marco Mehta,51,M,"60000.0000",3,3,Bachelors,Professional,"1",M,2,29,"0-1 Miles"
11008,Moderate,1,32,Rob Verhoff,46,F,"60000.0000",4,4,Bachelors,Professional,"1",S,3,29,"10+ Miles"
11009,High,1,25,Shannon Carlson,51,M,"70000.0000",0,0,Bachelors,Professional,"0",S,1,27,"5-10 Miles"
11010,High,1,22,Jacquelyn Suarez,52,F,"70000.0000",0,0,Bachelors,Professional,"0",S,1,27,"5-10 Miles"
11011,Moderate,1,22,Curtis Lu,52,M,"60000.0000",4,4,Bachelors,Professional,"1",M,4,29,"10+ Miles"
11012,High,0,611,Lauren Walker,42,F,"100000.0000",2,0,Bachelors,Management,"1",M,2,22,"1-2 Miles"
11013,High,0,543,Ian Jenkins,42,M,"100000.0000",2,0,Bachelors,Management,"1",M,3,19,"0-1 Miles"
11014,High,0,634,Sydney Bennett,47,F,"100000.0000",3,0,Bachelors,Management,"0",S,3,28,"1-2 Miles"
11015,Low,1,301,Chloe Young,37,F,"30000.0000",0,0,Partial College,Skilled Manual,"0",S,1,31,"5-10 Miles"
11016,Low,1,329,Wyatt Hill,36,M,"30000.0000",0,0,Partial College,Skilled Manual,"1",M,1,30,"5-10 Miles"
11017,Low,1,39,Shannon Wang,71,F,"20000.0000",4,0,High School,Skilled Manual,"1",S,2,22,"5-10 Miles"
11018,Low,1,32,Clarence Rai,65,M,"30000.0000",2,0,Partial College,Clerical,"1",S,2,22,"5-10 Miles"
11019,Moderate,0,52,Luke Lal,37,M,"40000.0000",0,0,High School,Skilled Manual,"0",S,2,19,"5-10 Miles"
11020,Moderate,1,53,Jordan King,37,M,"40000.0000",0,0,High School,Skilled Manual,"0",S,2,32,"1-2 Miles"
11021,Moderate,1,536,Destiny Wilson,37,F,"40000.0000",0,0,Partial College,Skilled Manual,"0",S,1,31,"1-2 Miles"
11022,Moderate,1,609,Ethan Zhang,37,M,"40000.0000",0,0,Partial College,Skilled Manual,"1",M,1,31,"5-10 Miles"
11023,Moderate,0,298,Seth Edwards,37,M,"40000.0000",0,0,Partial College,Skilled Manual,"1",M,1,19,"1-2 Miles"
11024,Moderate,0,311,Russell Xie,37,M,"60000.0000",0,0,Partial College,Skilled Manual,"1",M,2,25,"5-10 Miles"
11025,Low,1,24,Alejandro Beck,70,M,"10000.0000",2,1,Partial High School,Clerical,"1",M,2,22,"1-2 Miles"
11026,Low,1,4,Harold Sai,69,M,"30000.0000",2,0,Partial College,Clerical,"0",S,2,22,"1-2 Miles"
11027,Low,1,40,Jessie Zhao,69,M,"30000.0000",2,0,Partial College,Clerical,"1",M,2,22,"5-10 Miles"
11028,Low,1,17,Jill Jimenez,69,F,"30000.0000",2,0,Partial College,Clerical,"1",M,2,22,"1-2 Miles"
11029,Low,1,32,Jimmy Moreno,69,M,"30000.0000",2,0,Partial College,Clerical,"1",M,2,21,"1-2 Miles"
11030,Low,1,28,Bethany Yuan,63,F,"10000.0000",2,1,Partial High School,Clerical,"1",M,2,21,"1-2 Miles"
11031,Low,1,8,Theresa Ramos,68,F,"20000.0000",4,0,High School,Skilled Manual,"1",M,2,21,"1-2 Miles"
11032,Low,1,35,Denise Stone,68,F,"20000.0000",4,0,High School,Skilled Manual,"1",M,2,21,"1-2 Miles"
11033,Low,1,9,Jaime Nath,62,M,"20000.0000",4,0,High School,Skilled Manual,"1",M,2,21,"5-10 Miles"
11034,Low,1,12,Ebony Gonzalez,68,F,"20000.0000",4,0,High School,Skilled Manual,"1",M,2,21,"5-10 Miles"
11035,Low,1,33,Wendy Dominguez,68,F,"10000.0000",2,1,Partial High School,Clerical,"1",M,2,21,"1-2 Miles"
11036,Moderate,1,343,Jennifer Russell,37,F,"60000.0000",0,0,Partial College,Skilled Manual,"1",M,2,31,"1-2 Miles"
11037,Moderate,1,49,Chloe Garcia,38,F,"40000.0000",0,0,Partial High School,Clerical,"0",S,2,31,"5-10 Miles"
11038,Low,1,6,Diana Hernandez,67,F,"10000.0000",2,1,Partial High School,Clerical,"1",M,2,21,"5-10 Miles"
11039,Low,1,19,Marc Martin,67,M,"30000.0000",3,0,Partial College,Clerical,"1",M,2,21,"5-10 Miles"
11040,Low,1,642,Jesse Murphy,38,M,"30000.0000",0,0,Partial College,Skilled Manual,"1",M,2,28,"1-2 Miles"
11041,Moderate,1,325,Amanda Carter,38,F,"60000.0000",0,0,Partial College,Skilled Manual,"1",M,2,31,"1-2 Miles"
11042,High,1,338,Megan Sanchez,38,F,"70000.0000",0,0,Partial College,Skilled Manual,"1",M,2,22,"0-1 Miles"
